"","eventtype","sum_death","sum_injuries","sum_propdmg","sum_cropdmg","economic_consequences"
"1","LOW TIDE","0","0","320000","0","320000"
"2","AVALANCHE","223","171","8721800","0","8721800"
"3","BLIZZARD","101","806","664913950","112060000","776973950"
"4","COASTAL FLOOD","5","7","393208560","56000","393264560"
"5","COLD/WIND","221","36","10638000","650000","11288000"
"6","DEBRIS FLOW","0","0","0","0","0"
"7","DENSE FOG","18","342","9674000","0","9674000"
"8","DENSE SMOKE","0","0","1e+05","0","1e+05"
"9","DROUGHT","6","19","1046196000","13941466780","14987662780"
"10","DUST DEVIL","2","43","694130","0","694130"
"11","DUST STORM","22","436","4852000","3600000","8452000"
"12","EXCESSIVE HEAT","1888","6388","6610500","492407780","499018280"
"13","EXTREME COLD/WIND","125","24","8648000","50000","8698000"
"14","FLASH FLOOD","994","1794","16097024686.71","1507749150","17604773836.71"
"15","FLOOD","1446","8594","162729764481.71","12338669100","175068433581.71"
"16","FROST/FREEZE","0","0","10480000","1091186000","1101666000"
"17","FUNNEL CLOUD","0","3","194500","0","194500"
"18","FREEZING FOG","0","0","2182000","0","2182000"
"19","HAIL","45","1454","17429682416.7","3078701873","20508384289.7"
"20","HEAT","3053","8652","19182550","904469280","923651830"
"21","HEAVY RAIN","98","254","3247260142","795099800","4042359942"
"22","HEAVY SNOW","129","1035","941988151.7","134673100","1076661251.7"
"23","HIGH SURF","143","195","113348000","1500000","114848000"
"24","HIGH WIND","296","1517","6134851953","658371900","6793223853"
"25","HURRICANE|TYPHOON","135","1333","85345910010","5505617800","90851527810"
"26","ICE STORM","89","1992","3946027860","5022113500","8968141360"
"27","LAKE-EFFECT SNOW","0","0","40107000","0","40107000"
"28","LAKESHORE FLOOD","0","0","7540000","0","7540000"
"29","LIGHTNING","797","5100","913386146.7","11985090","925371236.7"
"30","MARINE HAIL","0","0","4000","0","4000"
"31","MARINE HIGH WIND","1","1","287010","0","287010"
"32","MARINE STRONG WIND","14","18","92730","0","92730"
"33","MARINE THUNDERSTORM WIND","8","12","430600","0","430600"
"34","RIP CURRENT","562","519","163000","0","163000"
"35","SEICHE","0","0","980000","0","980000"
"36","SLEET","2","0","2e+06","0","2e+06"
"37","STORM SURGE/TIDE","11","5","4600503000","850000","4601353000"
"38","STRONG WIND","120","307","180949660","54925500","235875160"
"39","THUNDERSTORM WIND","188","2237","5108156301.2","536130388","5644286689.2"
"40","TORNADO","5654","91353","58493047028.7","413480520","58906527548.7"
"41","TROPICAL DEPRESSION","0","0","1737000","0","1737000"
"42","TROPICAL STORM","62","382","7575648350","670396000","8246044350"
"43","TSUNAMI","33","129","144062000","20000","144082000"
"44","VOLCANIC ASH","0","0","5e+05","0","5e+05"
"45","WATERSPOUT","6","72","55720700","0","55720700"
"46","WILDFIRE","70","865","4486135000","290502800","4776637800"
"47","WINTER STORM","217","1353","6747915251","32444000","6780359251"
"48","WINTER WEATHER","61","538","27216000","1.5e+07","42216000"
